,origin
0,1.525758981704712
1,1.9822049140930176
2,2.979564666748047
3,3.8552968502044678
4,4.681595325469971
5,5.682852506637573
6,6.504055738449097
7,7.486650705337524
8,8.367667198181152
9,9.197361707687378
10,10.304242610931396
11,9.418498754501343
12,7.651665687561035
13,8.300721883773804
14,8.739712476730347
15,9.431650400161743
16,9.958942413330078
17,10.50740385055542
18,11.075477838516235
19,11.672493696212769
